번호,우선순위,업체명,카테고리,홈페이지,대표전화,이메일,문의채널,소재지,주요취급품목,중국자체소싱망,선정이유,출처URL
43,상,썸띵((주)썸띵코퍼레이션),판촉물·굿즈 제작대행사,https://www.sumthing.co.kr/,02-3012-1206,partners@sumthing.co.kr,https://www.sumthing.co.kr/ (제작문의),서울 송파구,"브랜드 굿즈·키트 기획/디자인/제조/포장/배송 원스톱, 웰컴키트","약함(폭넓은 소싱 네트워크와 자체 풀필먼트만 언급, 자체 중국 공장·지사 언급 없음)",디자인·기획 중심 굿즈 스타트업으로 제조는 외부 소싱에 의존하므로 난이도 높은 커스텀 아이템의 중국 생산 파트너가 유용하다.,https://www.sumthing.co.kr/About
44,상,아카이브((주)재승그룹),판촉물·굿즈 제작대행사,https://www.thearc.kr/,031-922-0090,archivekit@naver.com,https://www.thearc.kr/ (키트 제작 문의),고양 일산동구,"기업 웰컴키트, 워크숍 키트, 텀블러·다이어리·에코백 등 브랜드 굿즈 패키지",불명(자체 공장·중국 지사 언급 확인 안 됨),웰컴키트 구성품을 조합·제작하는 대행사로 원가 경쟁력 있는 구성품 소싱을 위한 중국 파트너가 유용하다.,https://www.thearc.kr/kitpackage
45,상,에이원기프트(주식회사 에이원기프트),판촉물·굿즈 제작대행사,https://aonegift.co.kr/,1661-1069,aone@aonegift.co.kr,https://aonegift.co.kr/ (온라인 견적문의),양산 물금읍,"기업·관공서 행사 판촉물, 기념품, 사은품 제작",불명(자체 공장·중국 지사 언급 확인 안 됨),영남권 판촉물 제작대행사로 자체 생산망 언급이 없어 저가·대량 아이템의 중국 소싱 파트너가 필요할 수 있다.,https://aonegift.co.kr/
46,상,주아기프트(주식회사 제이컴스),판촉물·굿즈 제작대행사,https://juagift.com/,1544-6233,juagift@juagift.com,https://juagift.com/ (온라인 견적/대량주문 문의),군포시,"판촉물·기념품·답례품·홍보용품 주문제작(인쇄·각인), 이벤트 사은품","불명(본사·출고센터만 공개, 중국 공장·지사 언급 없음)",최저가 보장형 판촉물 제작대행사로 국내 출고센터만 운영해 원가 절감을 위한 중국 소싱 파트너 수요가 있을 수 있다.,https://juagift.com/
47,상,개성상인((주)개성상인),판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://www.intermarket.co.kr/,1544-8713,info@intermarket.co.kr,https://intermarket.co.kr/src/order.php (주문/견적문의),성남 분당구,"기업·대학·공공기관 기념품, 판촉물, 웰컴키트, 브랜드 굿즈 세트 / 기념품·판촉물·굿즈·홍보물품 제작 (TECH/전자기기, 필기도구, 건강관리용품, 우산 등)",불명(자체 공장·중국 지사 언급 확인 안 됨),판교 소재 판촉물·웰컴키트 제작대행사로 자체 제조망 언급이 없어 중국 소싱 파트너 활용 여지가 크다. / 판교 소재 판촉물 플랫폼으로 입점업체(공급사) 모집 구조를 갖추고 있어 직접 소싱보다는 공급사를 통해 조달할 가능성이 있으나 전자기기·굿즈 카테고리 확대 시 중국 소싱 파트너가 유용할 수 있음.,https://www.intermarket.co.kr/src/guide_usage.php
48,상,고려기프트,판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://adpanchok.co.kr/,1577-2288,,"https://adpanchok.co.kr/ (온라인 견적상담), 협력사 입점 https://adpanchok.co.kr/partner/",서울 도봉구,"판촉물·홍보물품·기념품·답례품 단체주문(로고 인쇄·각인) / 판촉물·기념품 단체주문 (자동차용품 판촉물, 은행/금융권 판촉물, 공공기관 우선구매 대상기업)","불명(협력사 입점 방식으로 상품 공급, 자체 공장·중국 지사 언급 없음)",협력사(공급사) 입점형 판촉물 전문몰이라 직접 소싱보다는 공급사 확보 관점에서 중국 소싱 파트너와 협업할 여지가 있다. / 공공기관 우선구매 대상기업이자 자사 사옥을 보유한 대형 판촉물 전문몰로 자동차용품·금융권 판촉물 등 다양한 카테고리를 대량 취급해 중국 소싱 파트너의 가치가 큼.,https://adpanchok.co.kr/partner/
49,상,세종기프트(구 기프트인포),판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://giftinfo.co.kr/,02-500-5900,help@gifti.co.kr,https://giftinfo.co.kr/ (온라인 견적/주문),서울 중구,"판촉물·기념품·답례품·굿즈 전반(생활용품, 문구, 우산, 텀블러 등 로고 인쇄 제작) / 판촉물·기념품·답례품·굿즈 인쇄제작 (텀블러, 에코백, 문구, 건강식품 판촉물 등)","불명(사이트에 중국 공장·지사 언급 확인 안 됨, 최저가 보장형 종합 판촉물 쇼핑몰)",대량 카탈로그형 판촉물 쇼핑몰로 자체 생산시설 언급이 없어 신규 아이템·OEM 기획 시 외부 중국 소싱 파트너가 필요할 가능성이 높다. / 대기업·공공기관 우선구매대상 기업으로 최저가 보장제를 내세우는 대형 판촉물 종합몰이라 원가 경쟁력 확보를 위한 중국 소싱 파트너 수요가 클 것으로 판단됨.,https://giftinfo.co.kr/
50,상,시너지기프트,판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://www.synergygift.co.kr/,02-713-8555,master@synergygift.co.kr,https://synergygift.co.kr/src/guide.php (주문가이드/견적문의),고양 덕양구,"기업·대학·연구소·공공기관 행사판촉물, 웰컴키트, 사은품, 굿즈 / 기업·대학·연구소·공공기관 행사판촉물, 홍보물품, 사은품, 웰컴키트, 굿즈 (텀블러, 손거울, 냅킨, 메모잇 등 주문제작형)",불명(자체 공장·중국 지사 언급 확인 안 됨),기관·기업 대상 판촉물 제작대행 위주로 자체 제조 언급이 없어 외부 소싱 파트너 활용 여지가 크다. / 보험사 사은품 검색에서 노출되는 공공기관·기업 행사판촉물 전문업체로 웰컴키트·굿즈 등 주문제작형 품목이 많아 중국 OEM 소싱 파트너 수요가 있을 것으로 판단됨.,https://www.synergygift.co.kr/
51,상,판촉나라,판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://87nara.kr/,1533-8700,biz87@naver.com,"카카오톡 ID 87narakr(야간문의), https://87nara.kr/ (온라인 견적)",대구 수성구,"학교·관공서·기업 판촉물, 행사 기념품, 답례품, 단체선물 / 판촉물·기념품·답례품·사은품·홍보물 (공공기관기념품 카테고리 운영, 학원홍보물, 떡메모지, 세면백 등)",불명(자체 공장·중국 지사 언급 확인 안 됨),소규모 판촉물 전문 쇼핑몰로 자체 제조 기반이 없어 신규 상품 소싱을 외부 파트너에 의존할 가능성이 높다. / 학교·관공서·기업 행사 판촉물을 전문으로 하는 대구권 온라인몰로 공공기관기념품 전용 카테고리를 운영하나 자체 해외 생산망 언급이 없어 외부 중국 소싱 파트너가 필요할 가능성이 높음.,https://87nara.kr/
52,상,판촉넷(대한판촉 주식회사),판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://panchock.net/,050-7790-0631,16008387@korea87.kr,https://panchock.net/ (온라인 견적문의),대구 수성구,"개업판촉물, 관공서·학교·기업 기념품, 홍보물 도매 / 프랜차이즈·은행(국민은행 등 금융권) 판촉물, 라이터·볼펜 등 판촉물 제작",불명(회사소개에 자체 공장·중국 지사 언급 없음),지역 기반 판촉물 유통·제작대행사로 자체 제조망이 없어 차별화 아이템 확보를 위한 중국 소싱 파트너 수요가 있을 수 있다. / 은행별·프랜차이즈 판촉물 카테고리를 별도 운영하는 판촉물 전문몰로 금융권·가맹점 대량 판촉물 수요에 대응할 중국 소싱 파트너가 필요할 수 있으나 연락처는 사이트 접근 차단으로 미확인.,https://panchock.net/
53,상,판촉이지((주)펀앤허브),판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://easy1.co.kr/,02-412-0044,master@eggift.co.kr,https://easy1.co.kr/ (온라인 견적문의),서울 금천구(통신판매업신고 기준),"기업·대학·연구소·공공기관 행사판촉물, 홍보물품, 사은품(전자기기·생활용품 등) / 기업·대학·연구소·공공기관 행사판촉물, 홍보물품, 사은품 (공공기관 판촉물 모음전, 상패/트로피, 다이어리, 행사가방 등)",불명(자체 공장·중국 지사 언급 확인 안 됨),브랜드 상품 유통 중심의 판촉물 제작대행사로 자체 제조가 없어 OEM 아이템 개발 시 외부 소싱 파트너가 필요하다. / 공공기관 판촉물 모음전을 별도 운영하며 대학·연구소·공공기관 행사 판촉물을 전문으로 하는 업체로 자체 해외 생산 언급이 없어 중국 소싱 파트너 수요가 있을 것으로 판단됨.,https://easy1.co.kr/src/privacy.php
54,중,마음상자,OEM 온라인브랜드·패키징,https://www.maumsangja.com,02-463-8212,,https://www.maumsangja.com/,,"선물박스·단상자·싸바리박스, 쇼핑백, 맞춤 스티커 제작(1:1 패키지 컨설팅)","약함(국내 생산시설 보유 표방, 중국 소싱망 언급 없음)",국내 생산시설로 박스를 만들지만 쇼핑백·파우치 등 외주 품목은 중국 소싱 파트너와 협업 여지가 있다.,https://www.maumsangja.com/
55,중,박스네(BOXNE),OEM 온라인브랜드·패키징,https://www.boxne.co.kr,02-2277-0023,syprint02@boxne.co.kr,https://www.boxne.co.kr/,서울 중구,"싸바리박스, 컬러 포장박스, 쇼핑백, 패키지 주문제작(김포 자체공장)","약함(국내 김포 자체공장 보유, 중국 소싱망 언급 없음)",국내 자체공장으로 박스는 직접 생산하지만 쇼핑백·부자재 원가 절감용 중국 소싱 수요가 있을 수 있다.,https://www.boxne.co.kr/
56,중,박스명가(BOXMGA),OEM 온라인브랜드·패키징,https://www.boxmga.com,02-2266-1113,syprint02@daum.net,https://www.boxmga.com/sub06/sub01.php,서울 중구,"FSC인증 패키지, 화장품 단상자, 싸바리박스, 쇼핑백 제작","약함(충무로 기반 국내 인쇄·제작, 중국 소싱망 언급 없음)",40년 국내 제작 노하우가 있으나 쇼핑백·특수 소재 패키지 원가 절감 시 중국 생산 파트너 수요가 있을 수 있다(박스네와 동일 그룹 추정).,https://www.boxmga.com/sub06/sub01.php
57,중,아르르((주)블랭크코퍼레이션/동원디어푸드),OEM 온라인브랜드·패키징,https://arrr.kr,1877-3228,arrr@blankcorp.kr,https://arrr.kr/cs/ / 카카오톡 @아르르,서울 서초구,반려동물 용품·간식·장난감(미디어커머스 기반 자체 브랜드),"불명(자체 공장 없는 미디어커머스형 브랜드, 모회사 소싱망 미확인)",외주 생산 기반 반려용품 브랜드지만 대기업(동원) 계열로 편입돼 기존 소싱망을 활용할 가능성이 있다.,https://arrr.kr/cs/
58,중,늘봄기프트 (늘봄컴퍼니),관공서·학교·금융·프랜차이즈 판촉 납품업체,https://alwaysbomgift.com/,1544-6233,alwaysbom2018@naver.com,,성남 분당구,"기업·공공기관·관공서·대학교·학원·협회 기념품 판촉물 도매 (문구, 에코백, 생활용품 등)",불명(검색결과에 중국 공장/지사 언급 없음),관공서·대학교·학원 대상 판촉물 도매몰을 표방하는 소규모 업체로 자체 생산망이 없어 가격 경쟁력 확보를 위한 중국 소싱 파트너 활용 가능성이 있음.,https://alwaysbomgift.com/
59,중,망고기프트 (원더풀라이프),관공서·학교·금융·프랜차이즈 판촉 납품업체,https://mangogift.co.kr/,,wdplife337@gmail.com,,서울 구로구,"판촉물·답례품·사은품·기념품 (핫팩, 손난로, 고급 수건 등 맞춤 제작)",불명(검색결과에 중국 공장/지사 언급 없음),보험사 사은품용 핫팩·수건 등 맞춤 제작 소규모 판촉몰로 자체 생산망이 없어 저가 대량 품목의 중국 소싱 파트너가 필요할 수 있음(대표전화는 검색결과가 타사와 중복 표기되어 미기재).,https://mangogift.co.kr/
60,중,아로기프트,관공서·학교·금융·프랜차이즈 판촉 납품업체,https://arogift.com/,02-501-0774,arogift@naver.com,,서울 강남구,"판촉물·기념품·사은품·홍보물품·답례품 (학교 졸업/입학 기념품, 담요, 구급함, 쇼핑백, 메모보드 등)",불명(검색결과에 중국 공장/지사 언급 없음),학교 기념품 검색에 노출되는 강남권 소규모 판촉몰로 자체 생산 언급이 없어 담요·구급함 등 범용 품목의 중국 소싱 파트너 활용 여지가 있음.,https://arogift.com/
61,중,예스폼기프트,관공서·학교·금융·프랜차이즈 판촉 납품업체,https://www.yesformgift.com/,,,https://find.yesformgift.com/sp/ (행사별 기념품 검색/주문제작),,"졸업·입학선물 기념품, 단체선물 주문제작 (국내 최저가 표방)",불명(사이트 접근 차단으로 확인 불가),서식 플랫폼 예스폼 계열의 기념품 주문제작몰로 졸업·입학 등 학교 행사 기념품을 최저가로 취급해 중국 소싱 파트너 수요가 있을 수 있으나 연락처는 미확인.,https://find.yesformgift.com/sp/event_%C1%B9%BE%F7%7C%C0%D4%C7%D0%BC%B1%B9%B0/
62,중,위시판촉 (wishcar),관공서·학교·금융·프랜차이즈 판촉 납품업체,https://wishcar.co.kr/,,,https://wishcar.co.kr/shop/list.php?ca_id=081008 (프랜차이즈 판촉물 카테고리),,"공공기관·지자체·협회·기업 행사 판촉물·기념품, 프랜차이즈 본사납품·가맹점 홍보 굿즈",불명(사이트 접근 차단으로 확인 불가),언론(브랜드경제신문)에서 공공기관·지자체 행사 담당자용 판촉물 플랫폼으로 소개되고 프랜차이즈 본사납품 카테고리를 갖춰 중국 소싱 파트너 수요가 있을 수 있으나 연락처는 미확인.,https://www.benews.co.kr/news/475927
63,중,제이기프트,관공서·학교·금융·프랜차이즈 판촉 납품업체,https://jgift.kr/,070-8777-9371,,,수원 권선구,"홍보판촉물 (USB, 보조배터리, 볼펜, 우산, 백팩·파우치, 경광봉·안전용품, 트로피, 비즈니스 선물세트)",불명(검색결과에 중국 공장/지사 언급 없음),USB·보조배터리 등 전자 판촉물과 가방류를 주력으로 하는 수원 소재 소규모 판촉몰로 중국 생산 의존도가 높은 품목 구성이라 소싱 파트너 활용 가능성이 있음(공개 이메일이 개인 계정 형태라 미기재).,https://jgift.kr/shop/view.php?index_no=749880
64,중,판촉물천국,관공서·학교·금융·프랜차이즈 판촉 납품업체,https://giftheaven.co.kr/,,,https://panchokmool.co.kr/panchokmool-category/school-promotional-item/ (학교기념품 제작 카테고리),,"학교 기념품·답례품 (USB, 보조배터리 등), 행사 판촉물",불명(사이트 접근 차단으로 확인 불가),학교 기념품 전용 카테고리를 운영하며 USB·보조배터리 등 중국 생산 의존 품목을 학교 단체선물로 제안하는 업체라 중국 소싱 파트너 활용 여지가 있으나 연락처는 미확인.,https://giftheaven.co.kr/gift/%ED%95%99%EA%B5%90-%EA%B8%B0%EB%85%90%ED%92%88/
65,중,(주)아이전시,광고·BTL·행사대행사,https://iex8808.cafe24.com,,,"https://iex8808.cafe24.com (견적·부스문의 게시판, 네이버톡톡)",,"전시부스, 학회부스, 박람회·이벤트 부스, 포토존, 블럭·패브릭 부스, 가판대·홍보·판촉 집기","약함(부스 제작·설치 전문, 중국 거점 언급 없음)",전시·학회·기업행사용 부스와 판촉 집기를 제작하는 업체로 포토존·가판대·판촉물 부자재를 대량 조달하기 때문에 중국 소싱 파트너 연계 가능성이 있다.,https://iex8808.cafe24.com/ ; https://iex8808.cafe24.com/category/%EA%B0%80%ED%8C%90%EB%8C%80%C2%B7%ED%99%8D%EB%B3%B4%C2%B7%ED%8C%90%EC%B4%89%C2%B7%EB%8B%A4%ED%8A%B8/53/
66,중,(주)콤마엔터테인먼트,광고·BTL·행사대행사,https://www.comma-entertainment.com,02-6319-6947,info@comma-entertainment.com,https://www.comma-entertainment.com/contact,서울 강남구,"이벤트·컨벤션 대행, 콘서트, 프로모션, BTL 마케팅, 옥외광고, 해외 마케팅(인바운드·아웃바운드), SNS·인플루언서",약함(해외 마케팅 대행사이나 중국 공장·지사 언급 없음),국내 기업의 해외 마케팅과 해외 기업의 국내 행사를 대행하는 글로벌 종합광고대행사로 행사·프로모션용 굿즈를 국경 간으로 조달·배송해야 해 중국 소싱·운송 일괄 파트너가 유용하다.,https://www.comma-entertainment.com/contact ; https://www.comma-entertainment.com/experience
67,중,(주)크레픽스,광고·BTL·행사대행사,https://www.creaphics.com,070-7604-5959,jin@creaphics.com,https://www.creaphics.com/24,서울 구로구,"BTL 광고, 행사 대행, 프로모션, 광고물 제작","약함(소규모 BTL 대행사, 자체 해외 거점 언급 없음)",효율성을 내세우는 소형 BTL 광고회사로 자체 제작 인프라가 없어 행사 판촉물·굿즈를 저비용으로 조달해 줄 외부 소싱 파트너가 필요하다.,https://www.creaphics.com/24
68,중,(주)탑스탠다드,광고·BTL·행사대행사,http://www.topstandard.co.kr,,,http://www.topstandard.co.kr (홈페이지 문의),경기 광명시,"행사 진행 대행, 전시부스 제작·설치, 심포지엄·컨퍼런스·세미나, 기업행사, 행사용품 렌탈(탑렌탈)","약함(국내 행사·전시 제작 대행, 중국 거점 언급 없음)",2014년 설립된 행사 진행·전시부스 제작 종합대행사로 행사용품 렌탈 사업까지 운영해 행사물품을 직접 대량 구매하는 구조이므로 중국 소싱 파트너의 원가 절감 제안이 유효하다.,http://www.topstandard.co.kr/ ; https://www.jobkorea.co.kr/recruit/co_read/c/topstandard
69,중,(주)펀잇컴퍼니(펀플랜),광고·BTL·행사대행사,https://www.funplan.co.kr,,,https://www.funplan.co.kr (홈페이지 문의) ; 인스타그램 @funplan.official,,"행사대행, 팝업스토어, 전시, 프로모션, 오프라인 BTL 행사","약함(행사대행·팝업 전문, 중국 거점 언급 없음)",팝업스토어와 전시·프로모션을 전문으로 하는 행사대행사로 팝업 집기·굿즈·사은품을 매 프로젝트마다 외주 제작해야 하므로 중국 소싱 대행 수요가 크다.,https://www.funplan.co.kr/
70,중,성심코퍼레이션,광고·BTL·행사대행사,https://www.sscomkor.com,,,카카오톡 채널 @성심코퍼레이션 ; https://www.sscomkor.com/aboutus,,"전시회 기획·운영, 소규모·호텔 행사, 기업행사, 독립부스, 팝업스토어 대행, 홍보월·포토존·족자봉 제작","약함(전시·행사 대행 전문, 중국 거점 언급 없음)",전시회·팝업스토어·기업행사를 기획부터 설치·운영까지 일괄 대행하면서 홍보월·포토존 등 연출물을 자체 제작하므로 행사 소품·기념품의 중국 소싱 파트너가 필요하다.,https://www.sscomkor.com/aboutus ; https://www.sscomkor.com/shop/?idx=27
71,중,아이스큐브(광고대행사 아이스큐브),광고·BTL·행사대행사,https://www.icecubecom.co.kr,,,https://www.icecubecom.co.kr (홈페이지 문의),,"BTL, 신제품 런칭쇼, 팝업스토어, 팬미팅, 콘서트, 기업교육·기업문화 콘텐츠, 영상제작","약함(마케팅 전문 대행사, 중국 거점 언급 없음)","신제품 런칭쇼·팝업스토어·팬미팅 등 굿즈 소비가 많은 행사를 전문으로 하는 마케팅 대행사로, 자체 제조 기반이 없어 굿즈 생산 소싱 파트너의 효용이 크다.",https://www.icecubecom.co.kr/BUSINESS
72,중,애드넷,광고·BTL·행사대행사,https://ad119.com,02-831-4871,ad8282@hanmail.net,https://ad119.com,서울 금천구,"친환경 전시부스 제작, 행사·컨퍼런스 디스플레이, 포토존, 배너거치대, 진열대, 인쇄·홍보물","약함(전시부스·디스플레이 제작 전문, 중국 거점 언급 없음)",전시부스와 배너거치대·진열대 등 행사 디스플레이 용품을 판매·제작하는 업체로 표준 행사물품을 중국에서 저가 소싱해 마진을 개선할 수요가 있다.,https://ad119.com/ ; https://ad119.com/55/?idx=115
73,중,이상기획,광고·BTL·행사대행사,https://www.mothid.com,,,https://www.mothid.com/promotion (홈페이지 문의),,"기업행사, 공모전, 제품설명회, 쇼케이스, 프로모션·BTL 대행, 컨벤션, 전시회·박람회, 팝업스토어","약함(행사·프로모션 대행 전문, 중국 거점 언급 없음)",제품설명회·쇼케이스·팝업스토어 등 다양한 기업행사를 대행하는 기획사로 행사별 맞춤 굿즈·판촉물을 외주로 조달해야 해 샘플부터 검수·운송까지 맡길 파트너가 필요하다.,https://www.mothid.com/promotion
74,중,플레이스컴(PLACECOM),광고·BTL·행사대행사,https://www.placecom.co.kr,,,https://www.placecom.co.kr/%ED%9A%8C%EC%82%AC%EC%86%8C%EA%B0%9C (홈페이지 문의),,"팝업스토어 기획·제작·운영, 팝업스토어 장소 대관(광화문·청계광장 등), BTL 프로모션","약함(팝업스토어 제작·운영 전문, 중국 거점 언급 없음)",팝업스토어 장소 대관과 제작·운영을 함께 하는 BTL 전문사로 팝업마다 집기·굿즈·사은품을 새로 제작해야 하므로 중국 소싱·생산 대행 파트너 수요가 지속적이다.,https://www.placecom.co.kr/%ED%9A%8C%EC%82%AC%EC%86%8C%EA%B0%9C
75,중,순풍,무역·소싱대행·수입도매,https://soonfung.com,,,https://soonfung.com/,,"중국구매대행, OEM·ODM, 배송대행(배대지), 병행수입, 도매","불명(구매대행·배대지 운영 표방, 자체 공장 여부 미확인)",구매대행·배대지 중심 소규모 업체로 OEM 공장 수배는 외부 제조 파트너와 협업할 가능성이 있다.,https://soonfung.com/
76,중,차이나바이((주)융일),무역·소싱대행·수입도매,https://www.chinabuy.co.kr,070-8682-6565,,https://chinabuy.off.co.kr/board/list?bname=notice,서울 강남구,"중국구매대행(알리바바·1688·타오바오), 배송대행","불명(B2C 구매·배송대행 중심, 자체 공장·지사 여부 미확인)",개인 구매대행 위주라 OEM·대량 공장 소싱 의뢰가 들어올 때 외부 파트너와 협업할 여지가 있다.,https://www.chinabuy.co.kr/
77,중,기프트앤돌,소규모 판촉물·패키징 중개벤더,https://giftanddoll.co.kr,031-848-2073,,https://giftanddoll.co.kr/board/%EA%B0%A4%EB%9F%AC%EB%A6%AC/8/,경기 양주시,캐릭터 인형·아이돌 인형·봉제 굿즈 주문제작,불명 — 중국 공장 관련 언급 확인 안 됨,기업·엔터사 대상 캐릭터 인형 굿즈 주문제작 소규모 법인으로 봉제 OEM 중국 소싱 협업 가능.,https://giftanddoll.co.kr/
78,중,다이렉트기프트(디앤지컴퍼니),소규모 판촉물·패키징 중개벤더,https://www.directgift.co.kr,02-382-4046,directgift@naver.com,https://www.directgift.co.kr/.new/info.asp,,"판촉물·잡화 전반, 로고 인쇄 기념품","약함 — '제조공장에서 직접 공급받아' 판매한다고만 표기, 자체 공장·중국 지사 언급 없음",판촉물·잡화를 제조공장에서 받아 기업에 공급하는 소규모 중개 벤더로 중국 공급처 다변화 수요 가능.,https://www.directgift.co.kr/.new/info.asp
79,중,대한기념품,소규모 판촉물·패키징 중개벤더,https://daehangift.co.kr,1600-9034,16009034@daehangift.co.kr,https://daehangift.co.kr/,대구 남구,텀블러·노트북파우치·여행용세트·쉐이커보틀 등 기업 판촉물·기념품 로고 인쇄,불명 — 자체 공장·중국 소싱 언급 없음,대구 소재 개인사업자 판촉물·기념품 쇼핑몰로 서울권 밖이지만 파우치·텀블러 등 중국 OEM 품목 비중이 큼.,https://daehangift.co.kr/
80,중,레드기프트,소규모 판촉물·패키징 중개벤더,https://redgift.kr,02-521-6667,87@redlooz.co.kr,https://redgift.kr/,서울 광진구,텀블러·사무문구·주방용품·선물세트 등 판촉물 도매·로고 인쇄 제작,불명 — 자체 공장·중국 소싱 언급 없음,광진구 소재 개인사업자 판촉물 도매·인쇄 벤더로 기업 행사·답례품 소량 주문을 취급함.,https://bizno.net/article/2966400466
81,중,마이선물,소규모 판촉물·패키징 중개벤더,https://mysunmul.com,031-981-0588,,https://mysunmul.com/category/100%EA%B0%9C-%EB%AF%B8%EB%A7%8C-%EC%86%8C%EB%9F%89%EC%A0%9C%EC%9E%91/120/,경기 고양시 일산서구,텀블러·마이보틀·보조배터리·미니가습기 등 판촉물 소량(100개 미만) 주문제작,"약함 — 텀블러 '100% 국내생산' 강조, 중국 소싱 언급 없음",고양 소재 소규모 판촉물 벤더로 국내생산 텀블러 위주지만 디지털 가전 등 보완 품목의 중국 소싱 협업 여지 있음.,https://mysunmul.com/
82,중,에이블러(에이블코리아),소규모 판촉물·패키징 중개벤더,https://ablerkorea.com,031-983-8419,ak0615@ablerkorea.com,https://ablerkorea.com/shopinfo/guide.html,경기 김포시,"텀블러·보틀 로고 레이저/실크 인쇄 주문제작, 소량~대량 판촉물",불명 — 자체 공장·중국 소싱 언급 없음,김포 소재 텀블러·보틀 전문 소규모 판촉물 벤더로 기업 로고 인쇄 대량·소량 주문을 취급함.,https://ablerkorea.com/
83,중,커스텀랜드(허스크),소규모 판촉물·패키징 중개벤더,https://www.customland.kr,031-477-9100,,https://pf.kakao.com/_RxkxfjG,경기 군포시,"커스텀 굿즈(의류·잡화·문구) 소량 제작, 기업 로고 굿즈","약함 — 국내 약 550평 직영 공장 보유, 중국 공장·지사 언급 없음",국내 직영 공장으로 소량 커스텀 굿즈를 만드는 업체라 국내 미생산 품목(텀블러·패키지 등)의 중국 소싱 보완 수요 가능.,https://www.customland.kr/
84,중,(주)대연이엔티 (B2B 스포츠 도매몰),스포츠·헬스·재활용품 유통사/OEM브랜드,https://www.dy-sports.com,,,https://www.dy-sports.com,,스포츠용품 B2B 도매 (온라인 셀러 대상),"불명(B2B 도매몰, 제조 정보 미확인)",온라인 셀러 대상 스포츠용품 B2B 도매몰로 보호대·헬스소도구 공급 벤더 확보 수요가 있음.,https://www.dy-sports.com/
85,중,(주)대호스포츠,스포츠·헬스·재활용품 유통사/OEM브랜드,https://daehosports.com,042-525-6939,daehosports@naver.com,https://daehosports.com,대전광역시,"헬스기구·케틀벨·헬스 소도구, 헬스장 납품 전문","불명(헬스기구 납품 전문사, 제조 정보 미확인)",대전 기반 헬스장 납품 전문사로 헬스장 부자재(보호대·밴드·매트) 소싱 파트너가 필요할 수 있음.,https://daehosports.com/
86,중,(주)스포틀러 (SPORTLER),스포츠·헬스·재활용품 유통사/OEM브랜드,https://sportler.co.kr,1670-7933,iwhasmp@gmail.com,https://www.sportler.co.kr/service/index.php,서울 서초구,"홈트 운동기구·요가매트·헬스소도구 (자체 브랜드 직영몰, G마켓·옥션 입점)","불명(온라인 직영 브랜드, 제조처 미공개)",홈트 운동기구를 자체 브랜드로 온라인 유통하는 업체로 보호대·소도구 등 신규 품목 소싱 파트너로 접근 가능함.,https://sportler.co.kr/member/privacy.html
87,중,(주)엠서클 (시셀코리아 SISSEL),스포츠·헬스·재활용품 유통사/OEM브랜드,https://sisselkorea.com,1899-3646,,https://store.kakao.com/sisselkorea (카카오톡 상담),서울 강남구,"폼롤러·마사지볼·짐볼·운동밴드·운동방석·정형베개 (스웨덴 시셀 공식 수입, 코스트코 입점)","약함(해외 브랜드 수입 총판, 자체 공장 없음)",시셀 수입 총판이라 핵심 품목은 본사 공급이나 보완 품목(보호대 등) PB 개발 시 중국 OEM 파트너가 필요할 수 있음.,https://sisselkorea.com/about.html
88,중,고핏코리아 (GOFITKOREA),스포츠·헬스·재활용품 유통사/OEM브랜드,https://gofitkorea.com,1833-3745,,https://gofitkorea.com,,"헬스기구·덤벨·헬스소도구, 헬스장 창업·기업·관공서·아파트 납품 및 피트니스 인테리어","불명(헬스기구 유통·납품 전문, 제조 정보 미확인)",헬스장 창업·관공서 납품 전문 유통사로 소도구·보호대 등 부자재 일괄 소싱 파트너가 필요할 수 있음.,https://gofitkorea.com/
89,중,다산메디칼 (닥터엠알오),스포츠·헬스·재활용품 유통사/OEM브랜드,https://drmro.com,070-7095-9512,dasanmd@hanmail.net,https://drmro.com,경기도 용인시 기흥구,병의원용 의료소모품·진료재료·장비 5천여 종 도소매 유통,"약함(의료소모품 유통 전문, 자체 공장 없음)",병의원 대상 의료소모품 종합 유통사로 보호대·재활 소모품 PB 소싱 시 중국 OEM 파트너가 필요함.,https://drmro.com/
90,중,더미통상 (서울종로의료기),스포츠·헬스·재활용품 유통사/OEM브랜드,https://jongromedi.com,02-2275-1478,habin0929@naver.com,https://jongromedi.com,서울 중구,"무릎·손목·허리 보호대, 병원용품, 재활운동 용품, 의료용 산소, 안마기 (관공서·병원 납품 실적)","약함(의료기기 유통 전문, 자체 공장 없음)",종로 40년 의료기 유통사로 보호대 카테고리를 다수 취급해 가격 경쟁력 있는 OEM 보호대 공급처를 필요로 할 가능성이 있음.,https://jongromedi.com
